"pca_id","pca_description","product_family","business_unit","technology_group"
"73-2114-01","PCA,SUB,AMALFI,FAN MODULE BRD","","",""
"73-3747-03","PCA,SUB,HEB,extender","","",""
"73-141818-01","PCA,NDM1G,NGRP Decoder Module 1st Generation, SDI, RnD","","",""
"73-15864-01","PCA,MBRD,","","",""
"73-3024-01E2","PCA,SUB,DMM-6","","",""
"73-2206-03E3","PCA,SUB,PA-12E-2FE","7000CMN","SRGBU","ENGTG"
"73-2832-03","PCA,SUB,SWITCH FC,COUGAR","","",""
"73-2832-02","PCA,SUB,SWITCH FC,COUGAR","","",""
"73-100794-01","PCA,DBRD,Dallas mSATA MTP (Manufacturing Test Platform)","","",""
"73-9076-0151","PCA,Zenith Mgmt Card /B (RCON)","MGX","SMBU","MITG"
"73-17308-02","PCA, FWD AMP, GMSA HGD, 1.2GHz","","",""
"73-17818-01","DCSABU:ZERMATT MEZZ BOARD","","",""
"73-17817-01","DCSABU:ZERMATT CPU BOARD","","",""
"73-17816-01","DCSABU:ZERMATT BASE BOARD","","",""
"73-14672-04","PCA,NIC,PCA,MBRD,PCA,NIC,PCA,OTHER,PVDM4-TDM-MED","ICV","SRGBU","ENGTG"
"73-13901-02","PCA,MBRD,Dr Maxwell C819H,Hardend","M2M800","IOTBU","ENGTG"
"73-9535-01","PCA, GranikosLJ","","",""
"73-2206-01","PCA,SUB,PA-12E-2FE","7000CMN","SRGBU","ENGTG"
"73-10446-01","PCA,OTHER48-port+2SFP,Mirage","","",""
"73-16335-02","PCA,NIC,","PANSRG","SRGBU","ENGTG"
"73-13876-05","PCA,OTHER,,M16,SCAPA ECU","NCS4000","CORBU","CTG"
"73-16344-02","PCA,OTHER","PANSRG","SRGBU","ENGTG"
"73-13909-05","PCA,OTHER,FAN TRAY,M16 24RU,SCAPA","NCS4000","CORBU","CTG"
"73-13696-02","PCA,MBRD,C4,ESTELLE,4x40GE/16x10GE,w/Santa Monica,w/CTS","C6000","EBBU","ENGTG"
"73-13327-04","PCA,MBRD,C4,RINGAR-HDI,8PT,10GE, w/Santa Monica, w/TRUSTSEC","C6000","EBBU","ENGTG"
"73-5115-01","PCA,SUB,WR15900 MENTOR BOM,TST BCKPLN,LINE CD","","",""
"73-5104-01","PCA,SUB,WR15900,MENTOR BOM,ENG SPIN BD","","",""
"73-14494-05","PCA,DBRD,OSP,ADMIRAL_LITE CR,EARL8","C6800MD","EBBU","ENGTG"
"73-14452-05","PCA,DBRD,OSP,AdmiralCR,EARL8","C6000","EBBU","ENGTG"
