x,y,z,pca_id,cluster
0.000490735259153387,-0.016268508987111,-0.000251783799255101,73-0097,7
0.000539521236180018,-0.0173921325621588,5.32448966263815e-05,73-0102-02,7
5.1162081719693e-08,3.35958450302968e-06,2.61838273591575e-06,73-0105,7
5.1162081719693e-08,3.35958450302968e-06,2.61838273591575e-06,73-0114,7
0.000595900877214584,-0.017541304483698,0.000370943791422186,73-0218-02,7
2.43222611245612e-06,5.59680217974999e-06,-7.0902532723341e-05,73-0245,7
2.51415266900688e-06,5.92551081625526e-06,-7.18810076630405e-05,73-0247,7
2.89547782999479e-06,7.38657301591593e-06,-7.72821618424619e-05,73-0250,7
2.99439646980255e-06,7.79068064221003e-06,-7.8612859625077e-05,73-0252,7
2.50885455342249e-06,5.86986099545431e-06,-7.18332454485324e-05,73-0255,7
2.51045623561892e-06,5.92276065084458e-06,-7.1708540269852e-05,73-0256,7
2.98759415521912e-06,7.73792934404192e-06,-7.85366292801597e-05,73-0259,7
2.98391464835172e-06,7.71256099593493e-06,-7.85665134036944e-05,73-0260,7
4.65043938213267e-06,5.08496581901594e-06,-0.000131200889221238,73-0264,7
4.65043938213267e-06,5.08496581901594e-06,-0.000131200889221238,73-0265,7
4.65043938213267e-06,5.08496581901594e-06,-0.000131200889221238,73-0266,7
4.65043938213267e-06,5.08496581901594e-06,-0.000131200889221238,73-0267,7
4.65043938213267e-06,5.08496581901594e-06,-0.000131200889221238,73-0268,7
4.65043938213267e-06,5.08496581901594e-06,-0.000131200889221238,73-0269,7
4.65043938213267e-06,5.08496581901594e-06,-0.000131200889221238,73-0270,7
4.65043938213267e-06,5.08496581901594e-06,-0.000131200889221238,73-0271,7
4.65043938213267e-06,5.08496581901594e-06,-0.000131200889221238,73-0272,7
4.65043938213267e-06,5.08496581901594e-06,-0.000131200889221238,73-0273,7
4.65043938213267e-06,5.08496581901594e-06,-0.000131200889221238,73-0274,7
4.65043938213267e-06,5.08496581901594e-06,-0.000131200889221238,73-0275,7
4.65043938213267e-06,5.08496581901594e-06,-0.000131200889221238,73-0276,7
4.65043938213267e-06,5.08496581901594e-06,-0.000131200889221238,73-0277,7
4.65043938213267e-06,5.08496581901594e-06,-0.000131200889221238,73-0282,7
4.65043938213267e-06,5.08496581901594e-06,-0.000131200889221238,73-0283,7
4.65043938213267e-06,5.08496581901594e-06,-0.000131200889221238,73-0284,7
4.65043938213267e-06,5.08496581901594e-06,-0.000131200889221238,73-0285,7
4.65043938213267e-06,5.08496581901594e-06,-0.000131200889221238,73-0286,7
4.65043938213267e-06,5.08496581901594e-06,-0.000131200889221238,73-0287,7
4.65043938213267e-06,5.08496581901594e-06,-0.000131200889221238,73-0288,7
4.65043938213267e-06,5.08496581901594e-06,-0.000131200889221238,73-0289,7
4.65043938213267e-06,5.08496581901594e-06,-0.000131200889221238,73-0290,7
4.65043938213267e-06,5.08496581901594e-06,-0.000131200889221238,73-0291,7
4.65043938213267e-06,5.08496581901594e-06,-0.000131200889221238,73-0292,7
4.65043938213267e-06,5.08496581901594e-06,-0.000131200889221238,73-0293,7
4.65043938213267e-06,5.08496581901594e-06,-0.000131200889221238,73-0294,7
4.65043938213267e-06,5.08496581901594e-06,-0.000131200889221238,73-0295,7
2.53130975142733e-08,1.02155638302208e-07,5.22142014663861e-07,73-0297,7
0.00249647831726233,-0.0313788450357747,0.000908041556079739,73-0298-02,7
5.1162081719693e-08,3.35958450302968e-06,2.61838273591575e-06,73-0305,7
5.48107585063298e-09,9.70014385931497e-07,6.60053110897776e-07,73-0353,7
0.00204343643994303,-0.0292496324860045,0.00212293362600385,73-0356,7
-8.44280148329094e-10,2.94772836990354e-09,9.68436426193559e-09,73-0382,7
3.64494006743601e-08,2.83988141752756e-06,2.08300771541071e-06,73-0392,7
3.64494006743601e-08,2.83988141752756e-06,2.08300771541071e-06,73-0393,7
3.64494006743601e-08,2.83988141752756e-06,2.08300771541071e-06,73-0394,7
4.65043938213267e-06,5.08496581901594e-06,-0.000131200889221238,73-0410,7
2.98918726448626e-06,7.74182708171355e-06,-7.85652455086311e-05,73-0411,7
0.000509158588319829,-0.0170040318116281,0.000531386759860792,73-0439,7
5.48107585063298e-09,9.70014385931497e-07,6.60053110897776e-07,73-0455,7
0.00056032656273514,-0.0177109369894179,0.000316296610524919,73-0596-02,7
2.50159331965297e-06,5.86474481091565e-06,-7.18463756556945e-05,73-0667,7
2.43222611245612e-06,5.59680217974999e-06,-7.0902532723341e-05,73-0689-02,7
0.00370704235077122,-0.0513327865067292,0.00792554597383408,73-0695-05,7
0.00864896121571831,-0.0760869262763322,0.0151545809710512,73-0704-02,7
0.00882218421143189,-0.0773188118455429,0.015410596407281,73-0705-02,7
2.51348489944893e-06,5.9424969726233e-06,-7.187689061227e-05,73-0713-02,7
2.51342857830745e-06,5.91667016189506e-06,-7.18637409074084e-05,73-0714-03,7
0.000490279466884633,-0.0162665411589335,-0.000248410744397683,73-0715,7
2.72332940355357e-06,-0.000113807298500055,-3.49477888175727e-06,73-0757,7
1.3298615718993e-06,-0.000290985667858491,0.00028821211081023,73-0761,7
0.000272324532248104,-0.00488376170785667,0.00293067452867749,73-0788-01,7
0.000490537764919347,-0.0162679287888906,-0.000251953547933593,73-0801,7
0.000490823913983505,-0.0162773358342681,-0.000246112639281074,73-0803,7
0.000396613063592278,-0.0144755023670891,0.00750953754157595,73-0804-02,7
0.00229143528747698,-0.0258584034145953,0.00623361211692107,73-0816-02,7
0.00672284304096521,-0.0167013755443725,-0.00682240052981072,73-0846-02,7
-1.82572971245237e-08,-1.41002378650346e-07,1.63687384156564e-06,73-0849-01,7
1.23612012302789e-07,-6.41952231573047e-05,-3.1275771393207e-05,73-0850-01,7
2.86088663632373e-08,1.36996283377282e-07,1.2707093432624e-06,73-0851-01,7
0.00662856112303283,-0.0158614748789278,-0.00657289175939572,73-0852-02,7
