Year;Quarter;Month;Hour;Category;Sales;Cost
2006;Q3 2006;Aug 2006;09:00;international;569.6;259.67
2008;Q1 2008;Feb 2008;23:00;skandinavisk;199.9;174.41
2006;Q3 2006;Aug 2006;16:00;international;2338.5000000000005;1189.5400000000002
2006;Q4 2006;Dec 2006;18:00;singles;12088.789999999952;6959.039999999982
2006;Q3 2006;Jul 2006;12:00;international;2218.7000000000007;1166.17
2007;Q3 2007;Sep 2007;12:00;singles;3368.100000000016;2717.09
2006;Q2 2006;Jun 2006;20:00;jazz/blues;339.8;184.57999999999998
2007;Q4 2007;Nov 2007;10:00;dance;15116.869999999972;7882.840000000003
2007;Q2 2007;Apr 2007;22:00;skandinavisk;919.4999999999999;486.35
2006;Q4 2006;Dec 2006;08:00;merchandise;854.35;453.06999999999994
2007;Q2 2007;Jun 2007;12:00;singles;5231.180000000021;4263.68
2007;Q3 2007;Jul 2007;13:00;singles;8209.45;6141.860000000001
2007;Q3 2007;Sep 2007;13:00;singles;4055.3100000000177;2826.24
2008;Q2 2008;Apr 2008;11:00;singles;15.0;59.8
2007;Q4 2007;Oct 2007;14:00;singles;3409.6700000000124;2600.0699999999997
2006;Q4 2006;Nov 2006;12:00;singles;8390.609999999986;5247.599999999991
2006;Q4 2006;Dec 2006;13:00;singles;18799.899999999976;11325.639999999963
2006;Q4 2006;Oct 2006;22:00;singles;608.8399999999998;390.04
2006;Q4 2006;Nov 2006;11:00;singles;7774.759999999988;4623.089999999997
2006;Q4 2006;Nov 2006;14:00;singles;13984.02999999993;8363.509999999991
2006;Q4 2006;Oct 2006;13:00;singles;9033.41;6702.060000000007
2006;Q4 2006;Oct 2006;18:00;singles;7545.949999999989;4656.330000000009
2006;Q4 2006;Dec 2006;10:00;singles;8785.729999999976;5122.140000000001
2007;Q1 2007;Jan 2007;17:00;singles;6004.010000000002;3564.7900000000013
2007;Q1 2007;Jan 2007;16:00;singles;7120.769999999991;4749.589999999991
2006;Q4 2006;Nov 2006;20:00;singles;1715.790000000001;911.39
2007;Q2 2007;May 2007;20:00;singles;1773.5900000000013;1123.1700000000003
2007;Q1 2007;Mar 2007;13:00;singles;7023.750000000016;4880.170000000013
2007;Q2 2007;Apr 2007;11:00;singles;3944.1100000000183;2716.2800000000016
2007;Q3 2007;Aug 2007;20:00;singles;1162.4399999999996;827.26
2007;Q4 2007;Oct 2007;12:00;singles;2832.3000000000065;1818.850000000001
2007;Q1 2007;Mar 2007;09:00;singles;691.1699999999996;374.06000000000006
2007;Q3 2007;Jul 2007;10:00;singles;2247.5000000000027;1596.96
2007;Q1 2007;Jan 2007;15:00;singles;7110.05999999999;4303.699999999995
2007;Q1 2007;Feb 2007;10:00;singles;1357.4200000000003;931.8100000000001
2007;Q3 2007;Aug 2007;18:00;singles;4449.100000000016;2635.09
2007;Q2 2007;May 2007;18:00;singles;5469.540000000005;3613.480000000001
2007;Q2 2007;Jun 2007;19:00;jazz/blues;4397.500000000001;2467.6899999999987
2007;Q3 2007;Aug 2007;21:00;jazz/blues;1309.1000000000001;679.6000000000001
2008;Q1 2008;Mar 2008;09:00;jazz/blues;429.70000000000005;227.38
2006;Q4 2006;Oct 2006;08:00;games;5238.7;1078.4
2007;Q1 2007;Feb 2007;22:00;games;5278.9;3039.38
2006;Q3 2006;Aug 2006;23:00;international;319.8;172.28
2007;Q2 2007;Jun 2007;23:00;games;8150.119999999997;4454.889999999999
2007;Q2 2007;Apr 2007;23:00;games;1152.3;569.61
2007;Q2 2007;May 2007;07:00;skandinavisk;349.8;184.73
2008;Q1 2008;Feb 2008;23:00;games;992.2199999999999;557.72
2006;Q3 2006;Aug 2006;04:00;games;399.9;0.0
2006;Q4 2006;Nov 2006;07:00;games;1499.5;818.41
2006;Q1 2006;Jan 2006;12:00;games;949.8;0.0
2008;Q1 2008;Mar 2008;22:00;games;1949.5;1052.25
2008;Q1 2008;Jan 2008;07:00;games;479.79999999999995;211.23000000000002
2007;Q3 2007;Sep 2007;01:00;games;5973.6399999999985;3562.9300000000007
2006;Q4 2006;Dec 2006;00:00;games;110495.30000000002;74282.25999999992
2007;Q3 2007;Jul 2007;02:00;jazz/blues;359.8;178.52
2007;Q2 2007;Jun 2007;09:00;jazz/blues;2168.7000000000003;1122.3600000000001
2006;Q3 2006;Aug 2006;13:00;singles;11014.530000000008;8330.930000000018
2006;Q3 2006;Jul 2006;08:00;games;1419.8;692.26
2006;Q3 2006;Sep 2006;19:00;international;519.7;284.64
2007;Q3 2007;Sep 2007;17:00;singles;3653.1000000000176;2511.54
2008;Q1 2008;Jan 2008;10:00;singles;392.69999999999993;936.8100000000001
2007;Q4 2007;Dec 2007;18:00;singles;2072.880000000002;1273.1100000000001
2006;Q3 2006;Aug 2006;12:00;singles;9359.029999999997;6794.300000000013
2007;Q4 2007;Oct 2007;17:00;singles;3274.3000000000106;2310.12
2007;Q3 2007;Jul 2007;14:00;singles;8298.4;5950.450000000001
2007;Q4 2007;Nov 2007;14:00;singles;1829.0200000000016;1478.5700000000002
2007;Q3 2007;Aug 2007;10:00;singles;1735.850000000001;1167.78
2007;Q1 2007;Jan 2007;20:00;klassisk;729.5;461.58000000000004
2006;Q4 2006;Oct 2006;20:00;international;1339.2;577.88
2007;Q1 2007;Jan 2007;21:00;blancs;1649.7;1101.88
2007;Q1 2007;Feb 2007;19:00;international;959.4999999999999;718.97
2006;Q3 2006;Jul 2006;17:00;international;2950.1300000000006;1518.9500000000003
2006;Q3 2006;Aug 2006;18:00;international;1556.5200000000002;838.46
2007;Q4 2007;Nov 2007;19:00;international;3458.3000000000006;1813.6599999999999
2006;Q3 2006;Aug 2006;01:00;klassisk;179.9;93.74
2007;Q1 2007;Mar 2007;09:00;klassisk;1089.4;535.9
2007;Q4 2007;Dec 2007;09:00;dance;26082.84000000006;13945.760000000002
2007;Q2 2007;Apr 2007;18:00;singles;4966.830000000007;2592.0600000000018
2006;Q3 2006;Jul 2006;19:00;singles;7514.620000000003;5616.140000000007
2007;Q4 2007;Nov 2007;23:00;merchandise;24.5;14.059999999999999
2007;Q3 2007;Aug 2007;01:00;merchandise;469.36;248.45
2008;Q1 2008;Feb 2008;23:00;merchandise;2555.56;1370.23
2007;Q1 2007;Mar 2007;23:00;merchandise;113.82;61.24
2007;Q2 2007;Jun 2007;01:00;jazz/blues;179.9;94.31
2007;Q1 2007;Feb 2007;21:00;jazz/blues;1209.4;615.34
2007;Q3 2007;Jul 2007;21:00;budget;99.9;29.6
2007;Q3 2007;Sep 2007;00:00;games;4408.320000000001;2411.2200000000003
2006;Q3 2006;Aug 2006;14:00;budget;120.0;307.57
2006;Q2 2006;Jun 2006;08:00;games;4188.500000000001;2122.01
2007;Q3 2007;Sep 2007;23:00;games;7797.599999999997;3974.270000000001
2007;Q2 2007;May 2007;21:00;klassisk;189.9;103.22
2006;Q2 2006;Jun 2006;17:00;singles;15131.769999999904;7441.960000000001
2007;Q4 2007;Nov 2007;04:00;pop/rock;699.5;382.40999999999997
2007;Q3 2007;Jul 2007;23:00;klassisk;179.9;78.39
2007;Q4 2007;Nov 2007;21:00;klassisk;2568.4000000000005;1358.88
2008;Q1 2008;Mar 2008;21:00;games;9023.219999999998;4963.39
2007;Q1 2007;Mar 2007;23:00;games;579.8;270.0
2007;Q1 2007;Feb 2007;20:00;klassisk;949.5;572.12
2007;Q2 2007;Apr 2007;10:00;klassisk;1585.7600000000004;870.15
2007;Q4 2007;Oct 2007;13:00;klassisk;27152.410000000065;14194.110000000004
2007;Q4 2007;Oct 2007;14:00;klassisk;23964.700000000044;12547.12
2007;Q4 2007;Oct 2007;16:00;klassisk;25906.610000000062;13524.510000000002
2006;Q4 2006;Dec 2006;21:00;klassisk;4447.0;2396.22
2007;Q4 2007;Oct 2007;12:00;klassisk;20145.90000000001;10188.729999999998
2007;Q3 2007;Jul 2007;08:00;klassisk;149.9;105.09
2007;Q3 2007;Jul 2007;21:00;klassisk;749.3;399.95
2007;Q3 2007;Jul 2007;20:00;klassisk;1888.4000000000005;958.9499999999999
2006;Q3 2006;Aug 2006;02:00;games;2839.2000000000003;1070.81
2006;Q4 2006;Nov 2006;17:00;singles;12310.519999999944;7364.47999999999
2006;Q4 2006;Dec 2006;11:00;singles;12177.419999999964;7592.679999999989
2006;Q4 2006;Oct 2006;09:00;singles;1037.3399999999997;613.5799999999999
2007;Q3 2007;Aug 2007;17:00;singles;5480.8100000000095;3708.39
2008;Q2 2008;Apr 2008;10:00;singles;12.0;44.43
2006;Q1 2006;Jan 2006;14:00;games;2059.4;0.0
2006;Q3 2006;Aug 2006;08:00;games;1349.6999999999998;744.65
2008;Q2 2008;Apr 2008;20:00;merchandise;3122.81;1502.9700000000003
2008;Q1 2008;Mar 2008;23:00;merchandise;117.19999999999999;63.04
2007;Q1 2007;Mar 2007;00:00;merchandise;2344.67;1240.75
2006;Q4 2006;Oct 2006;00:00;merchandise;109.9;51.4
2006;Q3 2006;Sep 2006;23:00;merchandise;13.33;4.4
2006;Q1 2006;Jan 2006;13:00;merchandise;546.47;142.18
2007;Q3 2007;Sep 2007;02:00;merchandise;193.23000000000002;77.19
2007;Q3 2007;Aug 2007;07:00;merchandise;19.98;6.63
2007;Q2 2007;May 2007;07:00;merchandise;11.66;4.42
2007;Q2 2007;Jun 2007;07:00;merchandise;6.67;2.21
2006;Q2 2006;Jun 2006;00:00;pop/rock;1259.3000000000002;753.17
2007;Q2 2007;Jun 2007;23:00;singles;164.72000000000003;173.79000000000002
2007;Q2 2007;Jun 2007;16:00;singles;6944.990000000003;5064.410000000001
2007;Q4 2007;Dec 2007;22:00;singles;49.8;24.89
2007;Q4 2007;Dec 2007;21:00;singles;329.40999999999997;219.8
2008;Q1 2008;Feb 2008;09:00;singles;41.9;55.0
2007;Q4 2007;Nov 2007;11:00;singles;741.9299999999996;759.4200000000001
2007;Q4 2007;Oct 2007;11:00;singles;1505.8300000000004;1296.5100000000004
2007;Q3 2007;Jul 2007;11:00;singles;4352.370000000017;3125.22
2007;Q3 2007;Aug 2007;13:00;singles;5164.370000000022;4052.1200000000003
2006;Q4 2006;Dec 2006;20:00;singles;5846.749999999996;3096.5999999999985
2006;Q4 2006;Nov 2006;10:00;singles;3884.3900000000094;2243.7800000000007
2006;Q3 2006;Aug 2006;11:00;singles;5042.820000000021;4351.2000000000035
2006;Q4 2006;Nov 2006;21:00;singles;778.2199999999997;377.91999999999996
2007;Q4 2007;Oct 2007;20:00;singles;641.2199999999998;445.03999999999996
2007;Q1 2007;Feb 2007;20:00;singles;1211.69;683.1700000000001
2007;Q2 2007;Apr 2007;19:00;singles;3424.0800000000104;1815.5299999999997
2007;Q1 2007;Mar 2007;10:00;singles;2788.7900000000095;1942.0299999999997
2007;Q3 2007;Jul 2007;18:00;singles;5457.69000000001;3375.9800000000005
2007;Q2 2007;Apr 2007;16:00;singles;6914.260000000008;3964.420000000003
2007;Q4 2007;Dec 2007;11:00;singles;997.7899999999995;802.64
2007;Q4 2007;Nov 2007;15:00;singles;2150.2900000000027;1532.0200000000002
2007;Q4 2007;Nov 2007;09:00;singles;159.70000000000002;88.72
2007;Q3 2007;Aug 2007;23:00;games;2849.0000000000005;1689.98
2006;Q4 2006;Dec 2006;08:00;games;31605.12;21051.57
2008;Q1 2008;Jan 2008;23:00;games;629.9;327.24
2007;Q3 2007;Sep 2007;02:00;games;2919.0000000000005;1544.2800000000002
2006;Q4 2006;Oct 2006;21:00;singles;658.5299999999997;388.26
2007;Q1 2007;Jan 2007;11:00;singles;3586.420000000011;2167.8199999999997
2008;Q2 2008;Apr 2008;12:00;klassisk;1238.8000000000002;906.81
2007;Q2 2007;Apr 2007;14:00;klassisk;3587.4000000000015;1831.8000000000006
2008;Q1 2008;Feb 2008;18:00;klassisk;8063.799999999991;4481.189999999999
2006;Q3 2006;Aug 2006;09:00;singles;898.5499999999996;633.73
2007;Q3 2007;Jul 2007;02:00;games;1709.6;876.2199999999999
2006;Q1 2006;Jan 2006;11:00;dvd/video;1159.3999999999999;0.0
2006;Q3 2006;Jul 2006;21:00;jazz/blues;459.70000000000005;239.23
2007;Q4 2007;Dec 2007;08:00;blancs;49.9;16.42
2007;Q3 2007;Sep 2007;22:00;blancs;479.6;189.45
2006;Q3 2006;Aug 2006;06:00;pop/rock;869.3;0.0
2006;Q4 2006;Oct 2006;22:00;dance;2018.7000000000005;1057.8
2006;Q4 2006;Oct 2006;10:00;dance;12669.289999999983;7228.400000000006
2007;Q1 2007;Jan 2007;10:00;singles;2114.940000000002;1244.45
2007;Q1 2007;Jan 2007;20:00;singles;1246.9800000000002;657.9300000000001
2007;Q3 2007;Aug 2007;22:00;singles;159.51000000000002;82.0
2006;Q3 2006;Sep 2006;12:00;singles;1189.31;923.4300000000001
2007;Q1 2007;Jan 2007;07:00;jazz/blues;40.0;83.13
2006;Q3 2006;Aug 2006;03:00;merchandise;239.9;0.0
2006;Q4 2006;Oct 2006;01:00;merchandise;219.9;142.01
2006;Q1 2006;Jan 2006;12:00;merchandise;479.8;280.0
2007;Q1 2007;Jan 2007;01:00;merchandise;239.9;142.0
2007;Q1 2007;Feb 2007;08:00;merchandise;528.8;291.2
2006;Q3 2006;Aug 2006;21:00;singles;658.5699999999997;399.62999999999994
2008;Q2 2008;Apr 2008;19:00;klassisk;1039.0;765.62
2007;Q1 2007;Mar 2007;20:00;klassisk;869.4;433.15999999999997
2007;Q4 2007;Oct 2007;09:00;klassisk;2318.5000000000005;1178.1000000000001
2007;Q2 2007;Apr 2007;19:00;klassisk;1149.3000000000002;584.74
2007;Q1 2007;Mar 2007;17:00;klassisk;3378.000000000001;1730.3600000000001
2007;Q4 2007;Oct 2007;20:00;klassisk;3717.820000000001;1961.7900000000004
2006;Q4 2006;Nov 2006;19:00;klassisk;6016.019999999997;2963.520000000001
2007;Q2 2007;Apr 2007;20:00;klassisk;449.70000000000005;239.31
2007;Q1 2007;Feb 2007;11:00;klassisk;3957.700000000001;1985.05
2006;Q3 2006;Aug 2006;09:00;dance;2168.7000000000003;1082.17
2007;Q4 2007;Oct 2007;17:00;dance;40945.000000000226;22719.239999999976
2007;Q1 2007;Jan 2007;21:00;jazz/blues;1239.2;1199.37
2006;Q3 2006;Sep 2006;17:00;jazz/blues;619.6;343.03
2007;Q3 2007;Jul 2007;03:00;games;1719.5;936.49
2006;Q3 2006;Aug 2006;22:00;singles;429.34999999999985;279.89
2006;Q3 2006;Jul 2006;09:00;dance;2678.500000000001;1486.3899999999999
2008;Q2 2008;Apr 2008;17:00;singles;86.8;98.33
2006;Q4 2006;Nov 2006;09:00;singles;1379.3000000000002;809.44
2006;Q2 2006;Jun 2006;10:00;singles;6517.819999999988;3231.470000000001
2006;Q4 2006;Oct 2006;23:00;singles;159.85999999999996;169.94
2006;Q3 2006;Sep 2006;14:00;singles;1407.0800000000002;1024.3
2006;Q3 2006;Sep 2006;16:00;singles;1312.0300000000002;1069.49
2008;Q1 2008;Jan 2008;08:00;merchandise;1879.8000000000002;1254.79
2008;Q2 2008;Apr 2008;10:00;dance;1558.7200000000003;849.5800000000003
2007;Q4 2007;Nov 2007;22:00;skandinavisk;5246.799999999999;2802.999999999999
2006;Q3 2006;Aug 2006;23:00;skandinavisk;669.6;171.39
2007;Q4 2007;Nov 2007;08:00;skandinavisk;1119.22;633.17
2006;Q2 2006;Jun 2006;08:00;klassisk;249.9;130.44
2007;Q1 2007;Mar 2007;10:00;klassisk;2878.2000000000007;1450.9900000000002
2006;Q3 2006;Jul 2006;22:00;singles;509.4399999999998;363.42999999999995
2006;Q3 2006;Jul 2006;21:00;singles;1206.7099999999998;725.61
2006;Q3 2006;Sep 2006;19:00;singles;980.6999999999996;681.27
2007;Q3 2007;Sep 2007;11:00;singles;2614.6600000000076;1791.6599999999999
2006;Q3 2006;Sep 2006;14:00;dance;5466.499999999998;2984.7300000000023
2007;Q1 2007;Jan 2007;07:00;skandinavisk;309.8;178.76
2007;Q3 2007;Jul 2007;08:00;blancs;129.9;51.89
2006;Q2 2006;Jun 2006;22:00;blancs;299.8;139.5
2006;Q1 2006;Jan 2006;15:00;blancs;149.9;0.0
2007;Q1 2007;Jan 2007;22:00;blancs;1699.7;1117.08
2006;Q3 2006;Sep 2006;08:00;blancs;149.9;63.48
2007;Q2 2007;Apr 2007;22:00;blancs;277.31;119.49000000000001
2007;Q1 2007;Feb 2007;22:00;blancs;262.32;119.34
2008;Q1 2008;Feb 2008;08:00;blancs;129.9;47.19
2007;Q4 2007;Nov 2007;22:00;blancs;5829.700000000001;4003.62
