Year;Quarter;Month;Hour;Category;Sales;Cost
2007;Q4 2007;Dec 2007;17:00;budget;99.9;88.67
2007;Q2 2007;May 2007;00:00;merchandise;399.9;0.0
2007;Q3 2007;Jul 2007;00:00;skandinavisk;369.9;266.89
2007;Q1 2007;Jan 2007;06:00;games;200.0;101.63
2006;Q4 2006;Oct 2006;23:00;klassisk;179.9;84.21
2007;Q2 2007;May 2007;07:00;klassisk;169.9;87.01
2007;Q1 2007;Feb 2007;21:00;klassisk;359.8;198.04
2007;Q1 2007;Feb 2007;09:00;klassisk;509.70000000000005;271.56
2007;Q4 2007;Oct 2007;17:00;international;8924.819999999992;4379.320000000001
2007;Q3 2007;Sep 2007;10:00;international;11882.599999999984;5581.6900000000005
2007;Q4 2007;Nov 2007;14:00;international;4797.099999999999;2393.56
2007;Q3 2007;Jul 2007;09:00;international;5096.699999999999;2658.419999999999
