Date	Year	Month	HomeTeam	AwayTeam	Matches	FTResult	HTResult	FTHomeGoals	FTAwayGoals	HTHomeGoals	HTAwayGoals	HomeWins	HomeLosses	AwayWins	AwayLosses	Draws
27/04/13	2013	04	Southampton	West Brom	1	A	A	0	3	0	1	0	1	1	0	0
27/04/13	2013	04	Stoke	Norwich	1	H	D	1	0	0	0	1	0	0	1	0
27/04/13	2013	04	Wigan	Tottenham	1	D	D	2	2	1	1	0	0	0	0	1
28/04/13	2013	04	Arsenal	Man United	1	D	D	1	1	1	1	0	0	0	0	1
28/04/13	2013	04	Chelsea	Swansea	1	H	H	2	0	2	0	1	0	0	1	0
28/04/13	2013	04	Reading	QPR	1	D	D	0	0	0	0	0	0	0	0	1
29/04/13	2013	04	Aston Villa	Sunderland	1	H	H	6	1	2	1	1	0	0	1	0
04/05/13	2013	05	Fulham	Reading	1	A	A	2	4	0	1	0	1	1	0	0
04/05/13	2013	05	Norwich	Aston Villa	1	A	D	1	2	0	0	0	1	1	0	0
04/05/13	2013	05	QPR	Arsenal	1	A	A	0	1	0	1	0	1	1	0	0
04/05/13	2013	05	Swansea	Man City	1	D	D	0	0	0	0	0	0	0	0	1
04/05/13	2013	05	Tottenham	Southampton	1	H	D	1	0	0	0	1	0	0	1	0
04/05/13	2013	05	West Brom	Wigan	1	A	D	2	3	1	1	0	1	1	0	0
04/05/13	2013	05	West Ham	Newcastle	1	D	D	0	0	0	0	0	0	0	0	1
05/05/13	2013	05	Liverpool	Everton	1	D	D	0	0	0	0	0	0	0	0	1
05/05/13	2013	05	Man United	Chelsea	1	A	D	0	1	0	0	0	1	1	0	0
06/05/13	2013	05	Sunderland	Stoke	1	D	A	1	1	0	1	0	0	0	0	1
07/05/13	2013	05	Man City	West Brom	1	H	H	1	0	1	0	1	0	0	1	0
07/05/13	2013	05	Wigan	Swansea	1	A	H	2	3	1	0	0	1	1	0	0
08/05/13	2013	05	Chelsea	Tottenham	1	D	H	2	2	2	1	0	0	0	0	1
11/05/13	2013	05	Aston Villa	Chelsea	1	A	H	1	2	1	0	0	1	1	0	0
12/05/13	2013	05	Everton	West Ham	1	H	H	2	0	1	0	1	0	0	1	0
12/05/13	2013	05	Fulham	Liverpool	1	A	D	1	3	1	1	0	1	1	0	0
12/05/13	2013	05	Man United	Swansea	1	H	H	2	1	1	0	1	0	0	1	0
12/05/13	2013	05	Norwich	West Brom	1	H	H	4	0	1	0	1	0	0	1	0
12/05/13	2013	05	QPR	Newcastle	1	A	A	1	2	1	2	0	1	1	0	0
12/05/13	2013	05	Stoke	Tottenham	1	A	D	1	2	1	1	0	1	1	0	0
12/05/13	2013	05	Sunderland	Southampton	1	D	D	1	1	0	0	0	0	0	0	1
14/05/13	2013	05	Arsenal	Wigan	1	H	D	4	1	1	1	1	0	0	1	0
14/05/13	2013	05	Reading	Man City	1	A	A	0	2	0	1	0	1	1	0	0
19/05/13	2013	05	Chelsea	Everton	1	H	D	2	1	1	1	1	0	0	1	0
19/05/13	2013	05	Liverpool	QPR	1	H	H	1	0	1	0	1	0	0	1	0
19/05/13	2013	05	Man City	Norwich	1	A	D	2	3	1	1	0	1	1	0	0
19/05/13	2013	05	Newcastle	Arsenal	1	A	D	0	1	0	0	0	1	1	0	0
19/05/13	2013	05	Southampton	Stoke	1	D	D	1	1	0	0	0	0	0	0	1
19/05/13	2013	05	Swansea	Fulham	1	A	A	0	3	0	1	0	1	1	0	0
19/05/13	2013	05	Tottenham	Sunderland	1	H	D	1	0	0	0	1	0	0	1	0
19/05/13	2013	05	West Brom	Man United	1	D	A	5	5	1	3	0	0	0	0	1
19/05/13	2013	05	West Ham	Reading	1	H	H	4	2	2	0	1	0	0	1	0
19/05/13	2013	05	Wigan	Aston Villa	1	D	H	2	2	2	1	0	0	0	0	1
